"broad_interest","enjoyment","instrumental_mot","self_efficacy"
2.6,2.4,2.75,2.5
3.8,4,2,1.25
2,2,2,2
2.2,2.8,2.75,2.625
1,1,3,1.25
3.4,4,1,1.125
3.2,3.4,1.5,2
2.2,2.75,1.75,3.75
1.2,1,3,3.5
3,3,2,2.125
3.4,2.75,3.25,1.25
2.4,2.6,1.75,2.875
2.2,3,2.25,2.125
3.8,3.2,1.5,1
3,1.8,2.75,2.375
3,2,2,2.875
2.8,2.4,1,1.625
2.8,3,1,2.25
2.4,2,3,2.375
4,3,1.25,1.875
2.2,1.6,2.75,2.25
2.8,2.8,1.75,1.75
2.2,2.4,2.5,2
2.6,3.2,2,2.5
1.6,2,1.75,1.75
3,3,2,2
3.2,4,1,1.75
3.8,3,2,2
2.4,1.8,2,2
3,3,1.25,2.125
2.2,1.4,4,1.75
2.2,1.6,2,1.875
3.2,3,2,2.5
2.4,2.8,2,2.875
1,3,2,1
2.8,2.8,2,1.625
1,2.2,2.25,3
1.6,2.8,1,2
3.4,3.6,1,2.125
2.6,3,2,2
2.8,3.8,2,1.375
2.4,3.2,1.5,1
2.6,3.6,2,3
2.2,2.6,2.75,2
3.4,3,2,1
3,2.4,1,2
2.2,2.8,3,2.625
2.8,3,2,2
2.6,2.6,2.25,2
1.6,2.2,2,1.75
3.25,3.8,2.75,2.875
1,1,1,1.625
1.4,1,1,4
3.2,3,1,3.25
2,3,2,3
2.4,2.8,2,2.125
3.4,2.8,1.75,2.375
3,3,4,2.375
2.2,2.8,1,1.5
3.6,1.6,2.66666666666667,1.625
1.8,3,1.75,2.375
2.6,2.8,1.5,1.75
3,2.6,2.25,1
1,3,1.75,1.375
2.6,3.2,1.5,1.375
2.8,3.4,2,2.875
3,2.6,2,4
3.6,3.4,1,1.375
5,4,1.5,2
3,3,2,4
3.6,1,1,1.875
2.6,2.8,2,2
3.6,2.2,1.25,3.25
2,2.8,1,1
2.6,2,2,2.5
3,3.8,2.5,2
3.2,3.2,2,1.5
2.6,3,2,1.75
1.4,1.4,3.5,3
3.4,3,1.75,1.5
3,2.4,2.25,2
1.6,2.6,2.5,1.5
2.6,2,3,3
1.6,1.2,2.75,2.75
3.8,4,1.25,2.375
2.6,3.2,2,1.875
3,4,2,2
1.4,2.2,2.25,3
2.6,2.8,3,1.125
2.6,2.2,2,1.875
1.8,2.8,3.5,3.375
2,2,2.25,2.25
2.4,3,2,3.25
2,2,2,3
3,3,2,1
3.6,3.6,1.75,2.125
1.6,1.2,2.5,1.625
3,4,1,1.25
2.6,3,1.75,1.625
3,2.8,1,1.5
3.8,3.2,2,3
1.8,2,2,3.5
3.2,4,2,2
4,4,3,1
2.8,2.8,1.5,2.375
2.8,3,2,2
3,3.2,4,2
3.6,3,1.75,1.875
3,4,1.25,2.625
3.8,3.6,1,1.25
2.2,2.6,2.25,2.85714285714286
2.8,3,3,1.375
2,3,2,2
3.4,3,1.75,1.875
2.4,2.6,3,1.875
2.4,2.2,3,1.75
3.8,2.8,3.5,2.42857142857143
2,2,2,3
3.2,3,3,2.125
3,4,2,2
2.8,2.8,2.5,2.25
1.8,2,2,2.375
1.6,2.2,1.5,1.5
2.6,2,1,2
2,3,2,2
2.8,2,2,1.5
2,3,1.75,1.85714285714286
3,1.75,1,1.57142857142857
2.4,2.8,2,2.125
2.2,2,2,2.5
3.4,2.8,2,1
3,3.2,1,1.5
3,3,2,2
3.8,3.6,1,1
2.6,2.8,3,1.625
2.4,2.8,2.25,1.75
3.4,2.4,3,3
3.2,4,2,1.625
2.2,2.4,2.25,2
3.4,3.8,1,1
3.2,3,2,1.5
3,3,2,2.71428571428571
2.2,3.2,2.75,1.5
3.4,3,2.5,2
3.2,2.6,3,2.5
3,3.2,3,1.875
1.8,2.6,2,2.25
2,2.4,2.75,1.75
2,1.6,3,2.125
2.6,2.8,2,2.5
3,3,2,2
3.2,3,1,1
1.2,1.4,2.25,2
2.2,3,1,2
3,3,2,2
4,4,1,1.125
3,3,2,2.125
4,3,3,2
1,2,2.75,4
3.8,2,2.5,1.625
2.4,2,2.25,2.75
2.8,2.8,2,2.5
2.4,3,2,1.375
3,3,2,2.25
2.75,2.2,2,2.375
3.2,3.4,2,1.75
2.2,2.6,4,1.375
3.2,4,2,1.125
3,3,2,2.75
3.8,3.8,1,1
1.8,3,1.75,1.5
3.6,4,1,1.5
3,2.8,2.75,2.75
1.6,1,3,2.375
3,2.4,1,2.375
3,2.8,2,2.125
3,3,2,2.75
2.6,1.8,2,2.625
3.2,3,2,2.375
3,2.6,2,2.625
3,2.8,2.5,2.625
2.8,3,2,1.75
1.4,2.4,2.25,2.875
3,3,2,2
1.8,3.2,2,2.625
3.4,3.2,2.25,2.625
3.6,1,4,1.5
1.4,2.8,2.33333333333333,2.625
3,4,1.5,1.375
4,4,1,1
3,2,4,2.125
2.2,2.2,3.75,2.125
1,4,4,2.375
3,3,2,1.5
3,2.8,1.5,1.75
1.8,2,3,2.375
2,3.2,2,2.625
1,1,4,3
1,2.2,2,2.75
2,2.6,2.75,2
2.6,2.8,3,2.5
2.6,2,4,2.75
2.4,3,3,2.125
3,3,2,2.28571428571429
3,3,3,2.25
3.4,3,2,2
2.75,1.8,2,2.125
3.4,2.8,2.5,2.375
3.8,3.8,1,1.5
3.2,4,1.25,1.75
2.4,2.8,1,2.25
2.2,3.6,2,1.375
2.6,2,2.75,2.875
3.2,3,1,2.625
3.2,2.8,1,2.375
3,3,1,2.75
2.4,3.6,1.25,1.125
3.2,3.2,1,2.625
2.6,2.8,2.75,2.375
3,4,2,2
3.6,4,1.5,3
2.5,3,2,2
4.2,2.8,1.75,2.14285714285714
2.6,2.6,2.25,1.25
2.2,1.6,3.25,1.875
3,3,1,2.14285714285714
3.2,4,3,1.5
2,3,1,2
2.2,2.8,1,2.375
3,2.4,2,2.28571428571429
2.6,2.4,1.5,1.5
2.4,3,2,2.625
2.4,2.8,2,2.375
1.4,2,3,2
3,3,1,2.75
2.8,2.4,2,1.71428571428571
3,2.8,3,2.25
1.4,2.8,1,2.375
2.8,3,2,2.25
2.2,3.4,2,1.125
2.4,2.2,2,1
1.4,1,2.5,2
1,1,4,4
2,2.6,2,2
2,2.5,3.25,2.125
3,3,2,2.625
3.6,3.6,2,2.25
3,3,2,2
3.6,4,1.25,1.5
3.2,2.8,2,2
3.2,3.4,1.75,1.625
3.2,3.6,2,2
3.2,3.8,2,2.625
2.8,3,1.25,2.25
2.6,3,2.5,1.125
1,2,2,3.14285714285714
3.5,2,2.25,2.125
3,2.6,2.5,2.625
3,3,2,2.25
3.6,3.4,1,1.875
3,4,1,1.25
2.6,2.8,1.75,2
2.4,2.8,4,3.57142857142857
2.8,2.4,1.25,1.625
1.4,2.4,1.75,1
3,2.8,2,2.5
2.2,2.4,2.5,1.875
1.2,1,4,3.625
2,3,2.25,2
4,3,2,2
2.4,3,1,2.5
3.6,4,2,1.25
1,1,3.75,2
3,3.8,1.75,1.875
4,3.25,2,3.875
1.6,1,4,2
2.8,3,2,1
1.6,3,2,2.25
4,3,2.75,2
3,2.8,2.75,2.875
4,3.2,2,1.375
1,2,2,1
3,3,2,2.875
3,2,2,1
3,3,2,3
2.6,2.6,2.5,2.5
1.4,3,4,1.75
4,3.5,1,1.375
3.2,2.4,2,2.28571428571429
2.8,3,2,2.375
2.4,3,2,2
2.6,3,3,3
3,1,1,2
2.6,3,1,2
2.8,2.4,2.25,2
2.8,3.6,1.75,2.125
3,3,2.25,1.75
3.4,3,2,1.625
3.2,4,1,2
2.4,2,2,2.25
3.8,1.6,1,2.875
2,3.4,1.75,1.5
2.6,3,2.5,2.625
2.8,2.6,2,2
2,2.8,1,2.125
3,3,2,2.5
2.4,2.6,2,1.625
2.8,3.6,2.25,1.625
3.4,2.8,2.25,2
2,2,2.5,2.25
1.6,1,2.75,3
3.4,3.4,2,1.375
2.4,2.8,1.75,1
3,3,2.25,2.375
2.6,2.8,3,3
2,2,3,2.25
2,1.4,2.5,2.25
2.2,3,1.25,1.5
3,3,2,2
4.4,3,1,1
2.8,3,2,1.75
2.6,3.4,1.75,1.75
2.8,3,2,1.875
3,2.8,1.25,2.625
2.8,2.6,1.75,2.375
1.8,1,1,2.125
3,1.6,2,2.125
3.4,3.5,1,1.5
3.2,3,2,2.75
2.6,2.2,1.75,3.125
3.2,4,1,1.875
2.6,2.8,2,1.75
2.4,3,2.75,2.125
3,3,2.75,1.75
2,2,3,2.625
2.6,3,1.5,2
2.6,2.6,1,1
4,3,1,2.57142857142857
2.2,3,2,2.25
1,1,3,4
1.2,2.4,3,1.25
3.6,3.4,1.25,2.25
3.5,3.6,1.5,1.75
3,3,2.25,2
3,2,2.5,2.5
3,3,2,2.25
1.6,2.2,3,3.875
3.6,3.8,1,1.25
5,4,4,4
2,2,2,1.5
2.4,3,2,2.375
3.6,3.8,4,1.5
2.2,1.4,2.25,1.375
3.6,3.4,2,1
1,2,1,4
2.8,3,3,2.125
2.2,1.8,3,2.5
2.2,2.8,3,4
1,1.2,1,3
3.4,3,4,1.75
3.2,3,1,2.25
2.6,2.6,3,2.375
3,2.2,1.75,2.125
3.2,2.8,2,2.125
1,1,2,2
3.25,1.6,1.5,3
2.4,2,2,1
1,2,1.5,3.375
3.8,4,1,1.25
2.8,3,2,2
3.8,4,2,2.125
2.4,1,2.5,3
3.4,3,2,2.75
3.8,4,1,1.375
3.4,3,2.25,1.875
2,2.8,1.5,2.375
1.4,2.8,1,2.375
1,1.8,3,2
3.4,3.2,1.5,1.375
3.4,3,1,2.125
2.5,1.4,2.5,3.25
2.2,2.6,3.5,2.42857142857143
4.6,4,1.25,1.875
2.8,3,1,1.28571428571429
3,2.2,2.25,2.5
3,2.8,1,1
2.2,2,2,2
3,2.4,3,2.875
2.6,2,2,3
2.6,2.4,1.25,1.42857142857143
4,4,1,1.375
2,2,2,2
2.8,2.8,2.33333333333333,2.375
3,3,2,2
3.6,3,2.5,3.5
2.8,3,2,1.625
2.6,2.4,2.25,3.125
2,1.8,1,2.875
1,2.8,2.5,1.875
3,2.2,3,1.875
3.8,3.2,1.66666666666667,1.25
3.4,2.6,3.25,1.75
3.4,3.8,1.25,1.57142857142857
3,4,1.75,1.625
1.4,1,3.5,2.875
2.8,2.8,2,2.25
2.4,3,4,2.875
1.4,2.8,1.75,2.75
2.6,3,2.5,2
1.25,2.4,2.25,2.375
2.8,3,1,1.875
2.4,2.6,2,2.375
2.4,2,2.25,2.5
2.4,2.8,2.75,3
3.33333333333333,3,2,2.625
4,3.4,1.75,2.125
2.2,2,4,1.625
1,2.2,2,1
2.8,3.8,3,1
3,3,2,2
3.2,3.2,2,1
2.5,2.4,2.25,2.75
2.2,2.2,1,2
3,3,2.25,2.625
3,3,2,3
3,1,1,1.25
3.2,3.6,1.75,2.875
3.2,2.4,2,2.375
2.6,3,2.75,2.25
1.8,2.8,2.25,1.75
1,1,3.5,3
3.4,3.8,1,1.25
2.2,1,1,3.25
2.2,2,2,2.125
2.4,2.2,3,1.375
3,1,2,1
1,2,2,1.875
3.4,1.25,2.5,2.5
2,2,2.5,3
2.6,3,3,1.625
5,3,2,4
2.8,2.4,2,1.75
2.6,1.8,2,2.125
2.8,2.8,2,1.75
2.2,2.8,2,2
1,2,3,2
2.2,2.4,2.5,2.28571428571429
2.6,2.4,1.25,2.625
3,3,2,1.875
2,2.6,1.75,2.625
3.75,2.8,1.75,3
3.2,3.2,2.5,1.75
1,1,2,2
2.8,2.8,2,1.25
3,2.4,2,2.375
3,3,2,1.75
1,1.8,3.5,2
2.8,2.4,2.25,2.375
1.8,2.2,4,2.25
2.8,2,2.75,2.375
2.2,2.4,4,2
2.4,3,1.75,3.125
2.4,3.8,1,1.875
1.4,2.6,1.5,2
3.8,3,1.75,2.125
2.6,3.2,2,1.625
2.2,2.2,2.5,2.75
3.2,3,1,1
2.2,2.8,2,2.625
2,3.6,1.25,1
3.4,3,1.5,1.625
2.6,2.2,2,2.25
3,2.8,3.25,2
3.4,2.8,3,2.25
3.8,4,1,1.375
3.6,3.8,2,2
2.4,2.2,2.5,2.625
2.6,3.6,2,2.75
3,2.8,2.25,2.125
2.2,2.8,2.25,2.375
4,4,4,1
4,4,1.75,1.5
2.4,3,2.25,2
2.8,2.8,3,1.25
3.6,2.6,3.5,2.25
3,2,3,2
3.6,4,1,1.5
2.4,3,3.75,1
3,3,1.5,2
3.4,3.6,1,3
2.2,3,2,2
3.6,3,2,1
1.75,2.6,2,3.5
2.2,4,2.25,1.375
1.4,3,2,1
3.4,3,1.5,1.625
1.8,2.6,2,2.75
2.8,2.8,2,3
3,3,2,2
1,3.2,2,2.75
3.4,3.2,1,1.5
1,3,2,2
3.8,3,2,2.375
2,3,2,3.625
3.2,3.2,3,2.625
3.4,1,2,1
2,2.6,2.5,1.75
1,1,3,4
1,2.4,2,3.125
2.4,2.4,2.5,2.375
2.4,2.2,3,2.125
3.4,4,1,1.25
3.2,4,1.75,1
2.6,2.6,2.5,1.75
3.2,2.6,2.5,2.125
1,1.2,4,4
4,3,3,3
3.4,4,1,1.75
3,2.8,2,2
2,2.2,2.5,3
2.8,3.2,2.5,1.375
2.6,3.2,1,2
3.2,4,1,2.25
2.4,3,2,2.75
3.4,3.4,1,1.75
4.2,2.6,2.25,2.875
1.2,4,1,2
2.4,2.6,1.25,2
4,4,2.25,1.125
2.6,2.8,2,1.375
2.2,2.8,1,2.375
2.4,3,2,2.625
3,2.6,2.5,1
4,3,2,2.375
2.8,2.6,2.25,3
3.4,1,1.5,2.25
3.2,3,2,2
3,3,2,2
2.4,3.2,1,2.5
3.8,3,4,3.625
2.8,3,2.75,1.375
3.6,4,2,1.5
3.8,3.2,1,2.25
3.6,2.8,1.5,1.5
2.6,2.6,1.75,2.75
1,2.6,2,2.125
3,3,2.75,1.375
3,2.8,2.5,2.125
3,1,2,2
3,4,1,1.125
3,3,1.5,2.125
2.8,3.2,2,2
2.8,3,2,2.125
4.2,1,2.5,1
3.2,2.6,2,2
3,3,2,2
1.8,1,4,2.5
3.2,1.8,1.5,2
3,3.2,1.75,2.5
2.8,2.6,2.75,2.375
3.6,2.8,2.75,1.875
3.6,4,1.25,2.125
4,3,2,2.625
3.2,3.2,1,1.5
1.75,3.6,1,1
3,3,2.75,1.75
3,2.8,2.25,2.25
1,1,1,2
2.8,3,2,2
2.8,2.4,1,2
2.2,3,2,2.75
2.4,2,2.25,2.875
1,2.75,2,2
3.4,3,2,2.375
3.4,3.2,1.75,2.125
3.8,4,1.25,1
3.4,3,2.5,1.875
3.2,3.2,3.5,2.375
1,1,4,4
3,3.6,1,1.625
2,1,4,2.625
2,2,2.25,1.875
2.2,2.4,2.75,4
2.25,4,2,1.625
2.6,2.6,2.5,1.625
2.2,3,2.5,2.125
3,3,2,1
2.2,2.8,3,2.375
1,1,2.75,2.625
3.2,3.4,1,1.625
2,2,1,2.625
3,3,2,1
3.2,3,2,2.5
2.6,4,1.5,1
1.8,1,3.25,3
1,1,4,1.875
2,2,4,2.375
1.8,1,4,3.375
2.8,2.6,2.25,2.375
1.8,2.2,2,3.75
3.6,4,2,2.875
3.2,3,2,2
3.2,3,2,2.375
3,3,2.25,2
1.6,3.2,3,2
2.6,3.4,2.5,2
3,3,2,2.5
1,2,2,1
2.8,3,2,1.625
4.6,4,4,1
2.2,2.8,2,2
2.4,3.4,3.25,1.25
2.6,3,2,3
3.4,3.6,1,1.625
1.6,2.4,1.25,3.125
1,2.2,1,1.5
3.2,3,2.5,1.875
3,3,3,2.625
1.4,4,1.75,2.5
3.2,3,2,1.5
2.8,3,4,1.5
3.4,2.8,1.75,2.125
2.6,2.8,3,1.75
2.6,2.2,2.75,2.625
2.6,2.8,3,2.125
3.2,3,1,2
2.8,2.4,1.75,1.625
3.2,3.2,2,1.75
2.8,3,2,1.375
3.2,3,2,2.25
2.4,3,1.5,1.75
3,3.2,2.25,2.5
3.8,3,2,2
3,4,1,1.5
4,4,1,2.125
3,3,2.75,2.25
2.6,4,1,1.375
2.4,2,2.75,3
3,3.8,1.5,1.625
2,2,2,2
3.8,3.6,1,2.25
3.2,3,2,2
3.4,4,2,2
3,4,2,1.28571428571429
1.8,2.4,1,2.75
1.6,2.6,2,1.625
2.6,3.8,1.25,1.625
3,3.4,1,2.375
3,3,2,2
3.4,2.8,4,1.5
3.4,2.8,2,1.625
2,2.2,2,3.125
3,4,2,2
3.6,4,4,1.125
2.2,1,1.5,1.5
3.2,2.4,3,1.625
2.4,2.8,3.25,2.42857142857143
2.4,4,1.25,1.875
3,1,2.25,2.75
1.8,1.4,3,2.5
2,4,1,2
2.4,2,2.25,2.75
2.2,1.6,2,1.5
3,2.8,2.5,2.125
5,4,4,4
1,1,4,4
1.8,2,3.25,2.125
2.6,1,2,1.875
2.6,3,2,2.75
2.6,3,1,2.25
1.8,2,3,2.33333333333333
3,2.6,2,1
3.2,2.8,2,2
2.2,2.6,2,1
4,4,1,1
2.4,1.6,3.5,2
1.8,4,1,2.5
3.25,2.2,3,3.125
2.6,1.8,3,1.25
3.4,3,2.25,1.625
2.8,2,1.33333333333333,2
2.8,1.8,2.75,2.25
2.75,3,2,1.66666666666667
3,3.4,2.25,3.5
1.4,2,2,3.28571428571429
2.2,2.8,2.25,2
2,3,3,2
3,3,2,2
3.4,3.8,1,2
2.6,2.8,2,2.14285714285714
4,3,2,1.375
3.2,4,1,1.375
2.6,2,1.25,2.375
2,2.4,4,1.75
3.8,2.8,2,1.5
2,2,2,2.875
3,3.6,2,2.5
1.6,2,4,3
4,1.4,4,4
2.8,2.4,2.75,1.875
3,3,2,3
2.4,2.8,2.5,2.125
2.2,2,2.75,2.25
3.2,3,2,1
3.4,3,1,1.875
2.4,2,2,2
3.4,2.8,2.75,1.375
2.4,3,2,1.25
4,2,1,1.125
3.6,3,2,1.125
2.75,3,2.25,1.25
2,2.4,2.5,3.125
2.8,3,2,2.28571428571429
3.4,3,1,1
2.8,4,1,1.25
3.6,3.2,2.25,1.75
1,1,2,2.75
2.4,2,1.75,2
2.8,3,1.25,2.375
3.4,3.2,3,2.5
4,4,2,3
3.75,3.4,2.25,2.125
3,3,2,2
3.8,3,2,2
3.2,3.6,2.75,1
3,3,2,2.75
2.8,1.2,1,2.5
3.2,3.5,1.25,3.25
2.6,2.8,2.5,1.57142857142857
2.8,2.4,3,2.25
2.4,3,2,1.75
2.6,2.8,2,2
2.4,3.6,1,3.125
3,2.8,2,1.5
1.2,2,1,2
1.6,2.4,1.75,2.5
2,2,3.66666666666667,2.5
2.6,2.6,1.25,2.5
3,2.8,2,1.57142857142857
2,1.4,3.5,2.375
2.2,2.8,2.5,3.125
2.8,2.8,3,1.875
3.4,3,1,3.125
2.6,2.6,3,1.875
1.8,2.6,2,1.875
3.8,3.2,1,1.25
2.6,2.2,2,2.75
2.4,1.8,2,3.875
3,3,1,1
1.2,1.8,4,2.5
3.4,1,4,3.5
2.2,2.6,2.75,2.25
2.4,2.8,2,2.57142857142857
1.4,2.2,2.75,2.14285714285714
3.25,4,3,3.875
2.8,2.8,2,2.375
1,1,1,4
2.4,1.4,2.5,3.5
2.6,3,3,1.5
3,3,2.25,2.625
1,2.2,2,2.625
1.4,1,4,2.625
4,3,1,1.875
2.2,2.2,2.25,3
2.8,4,2.25,1
2.6,2.8,1.75,3.25
3.4,3,2,2.625
2.2,1.6,2,2.375
3,2.6,2.5,1.75
2.8,4,1,1.375
3.4,4,4,1
1.8,1.4,3,3
2.6,3,2,2.25
2.2,3,2,2
3,3,2.75,1.875
3.6,3.4,1,2.25
2.4,3,3,2.25
3,4,1,2.125
3,2.8,2,2.28571428571429
1,1,3,2.5
2.8,2.2,2.75,3
2.5,1.8,2.5,1.75
2.2,2.8,2.25,3.625
2.2,2.8,2,1
3.8,3.6,2.25,1.625
3.2,4,1.25,1
1,1,3,2.75
2.2,2.8,3,1.75
3.8,4,2,1.625
2.2,2.75,2,2.5
3,3.4,2.75,2.625
3.2,3,1,2.5
1.4,2.2,2,2.875
3.4,2.75,1.5,1.375
1.6,2,2.75,2
3,2.4,1,1.42857142857143
2.8,4,4,2
2.2,2.8,2,3
3,3.2,2.5,2
4,1.4,2,1.75
1,1.4,1,3
2.8,3,2,2.5
3.6,4,1.75,1.5
3,3,2.75,2.625
3,4,1,1.125
2.6,3,2.25,3
1.6,2.75,2.75,3.125
3,3.6,1.75,1.125
1,1,2,3
3.2,3.2,1.75,2.25
2.6,3.4,2.25,2.75
3.4,3,2.5,1.625
3,3,2,1
3,3,2,2
2.4,2.6,2.5,2.75
3.6,4,1,1
2.4,2.8,2,2.375
1.8,1.2,3,1.875
1,2,4,1
2,2,1,3
4,3.6,2,1.5
2.4,2,2.25,2.5
2.4,4,1,1.25
3.4,3,2,2.5
3,4,1,1
2.4,3.2,2,3
3.4,4,1,2
4.2,2.5,2.5,2.85714285714286
2,2,3,2.75
3.4,1,1,1.625
1,1,3,2
3,2.4,2.33333333333333,3
2.2,3,2,2
3.8,4,3,1.5
2.2,3,3,2
4,4,1,1
4,4,1,1.125
2.2,2,2.25,3
2.8,3,1.5,2.83333333333333
3,2,2.5,1.625
2.2,3.2,2.25,2.375
1,2,2.75,2.5
3,4,4,1
4,3,4,2
3,3,2,2
3.2,3,1,2
3.6,2.6,2,2.5
3.8,4,2,1.85714285714286
1.8,3,2.5,2.375
3.2,3,2.75,2.125
4,3,1.5,2.5
4,3.6,1,1.57142857142857
2,3,3,2.25
3,2.8,1,2.375
3.6,3,1,2
3,2.8,2.75,2
1.4,2.6,3.5,3.25
2.6,1.6,2.75,1.875
3.2,4,2,2.75
3,3,2,2
2.2,2.4,2,2.5
4,4,1,1.625
4,1,2,2.75
2,1,2.75,2.75
2.6,2.8,2,2.125
2.6,2.8,2,1.25
1.4,1.6,3.5,2.5
3,3.8,2,1.375
2.2,2.6,2.25,2.5
1,2,2,3
3.2,2.6,1.25,2.25
2.6,2.8,2.25,2.625
3.6,3.6,1.25,1.25
3.2,2.8,2.25,2.25
3.2,2.6,1,3
3.6,3,1.75,2.125
1,1.6,2,2
2.4,3,2,2
3,2.6,2.5,2.125
3.2,3,2,2
3,3,2,2
1.6,2,2.5,1.5
2,3,2,3
3.2,2.8,2.5,1.75
3,3.4,1,1.375
3.8,3,1,1.875
3.4,3,1.25,2.625
3,3.4,1,2.5
3.2,3.4,1.5,1.125
1.6,2.2,2.75,2.5
2.6,3,2.5,2.125
3,3,2.5,1.5
1,1,1,1
3.4,3.4,2,2.625
2,3,2,2.75
3.2,2.2,2.75,1.125
3.2,3.4,1,2.25
3,1,1.5,1
3,2.4,2.5,2.5
2.6,3.4,1.75,1.375
